,Dataset,Charset,Test,Sp1,Sp2,pvalue
160,Cognato_2001,ef1a_1stpos,MPTMS,Am1,Em1,0.43780504346076854
161,Cognato_2001,ef1a_1stpos,MPTIS,Am1,Em1,-42
162,Cognato_2001,ef1a_1stpos,MPTS,Am1,Gr2,-42
163,Cognato_2001,ef1a_1stpos,MPTMS,Am1,Gr2,-42
164,Cognato_2001,ef1a_1stpos,MPTIS,Am1,Gr2,-42
165,Cognato_2001,ef1a_1stpos,MPTS,Am1,Ho5,-42
166,Cognato_2001,ef1a_1stpos,MPTMS,Am1,Ho5,-42
167,Cognato_2001,ef1a_1stpos,MPTIS,Am1,Ho5,-42
168,Cognato_2001,ef1a_1stpos,MPTS,Am1,Hu2,-42
169,Cognato_2001,ef1a_1stpos,MPTMS,Am1,Hu2,-42
170,Cognato_2001,ef1a_1stpos,MPTIS,Am1,Hu2,-42
171,Cognato_2001,ef1a_1stpos,MPTS,Am1,Int7,-42
172,Cognato_2001,ef1a_1stpos,MPTMS,Am1,Int7,-42
173,Cognato_2001,ef1a_1stpos,MPTIS,Am1,Int7,-42
174,Cognato_2001,ef1a_1stpos,MPTS,Am1,Knu1,-42
175,Cognato_2001,ef1a_1stpos,MPTMS,Am1,Knu1,0.5061652190939088
176,Cognato_2001,ef1a_1stpos,MPTIS,Am1,Knu1,-42
177,Cognato_2001,ef1a_1stpos,MPTS,Am1,Lat3,-42
178,Cognato_2001,ef1a_1stpos,MPTMS,Am1,Lat3,0.5724067044708798
179,Cognato_2001,ef1a_1stpos,MPTIS,Am1,Lat3,-42
180,Cognato_2001,ef1a_1stpos,MPTS,Am1,Le3,-42
181,Cognato_2001,ef1a_1stpos,MPTMS,Am1,Le3,-42
182,Cognato_2001,ef1a_1stpos,MPTIS,Am1,Le3,-42
183,Cognato_2001,ef1a_1stpos,MPTS,Am1,Lo3,-42
184,Cognato_2001,ef1a_1stpos,MPTMS,Am1,Lo3,-42
185,Cognato_2001,ef1a_1stpos,MPTIS,Am1,Lo3,-42
186,Cognato_2001,ef1a_1stpos,MPTS,Am1,Ma1,-42
187,Cognato_2001,ef1a_1stpos,MPTMS,Am1,Ma1,-42
188,Cognato_2001,ef1a_1stpos,MPTIS,Am1,Ma1,-42
189,Cognato_2001,ef1a_1stpos,MPTS,Am1,Mo1,-42
190,Cognato_2001,ef1a_1stpos,MPTMS,Am1,Mo1,-42
191,Cognato_2001,ef1a_1stpos,MPTIS,Am1,Mo1,-42
192,Cognato_2001,ef1a_1stpos,MPTS,Am1,Mx1,-42
193,Cognato_2001,ef1a_1stpos,MPTMS,Am1,Mx1,0.13967348724103146
194,Cognato_2001,ef1a_1stpos,MPTIS,Am1,Mx1,-42
195,Cognato_2001,ef1a_1stpos,MPTS,Am1,Nob1,-42
196,Cognato_2001,ef1a_1stpos,MPTMS,Am1,Nob1,-42
197,Cognato_2001,ef1a_1stpos,MPTIS,Am1,Nob1,-42
198,Cognato_2001,ef1a_1stpos,MPTS,Am1,Pa2,-42
199,Cognato_2001,ef1a_1stpos,MPTMS,Am1,Pa2,-42
200,Cognato_2001,ef1a_1stpos,MPTIS,Am1,Pa2,-42
201,Cognato_2001,ef1a_1stpos,MPTS,Am1,Pet1,-42
202,Cognato_2001,ef1a_1stpos,MPTMS,Am1,Pet1,-42
203,Cognato_2001,ef1a_1stpos,MPTIS,Am1,Pet1,-42
204,Cognato_2001,ef1a_1stpos,MPTS,Am1,Pl4,-42
205,Cognato_2001,ef1a_1stpos,MPTMS,Am1,Pl4,-42
206,Cognato_2001,ef1a_1stpos,MPTIS,Am1,Pl4,-42
207,Cognato_2001,ef1a_1stpos,MPTS,Am1,Pil2,-42
208,Cognato_2001,ef1a_1stpos,MPTMS,Am1,Pil2,-42
209,Cognato_2001,ef1a_1stpos,MPTIS,Am1,Pil2,-42
210,Cognato_2001,ef1a_1stpos,MPTS,Am1,Pin1,-42
211,Cognato_2001,ef1a_1stpos,MPTMS,Am1,Pin1,-42
212,Cognato_2001,ef1a_1stpos,MPTIS,Am1,Pin1,-42
213,Cognato_2001,ef1a_1stpos,MPTS,Am1,Pro,-42
214,Cognato_2001,ef1a_1stpos,MPTMS,Am1,Pro,-42
215,Cognato_2001,ef1a_1stpos,MPTIS,Am1,Pro,-42
216,Cognato_2001,ef1a_1stpos,MPTS,Am1,Sch1,-42
217,Cognato_2001,ef1a_1stpos,MPTMS,Am1,Sch1,-42
218,Cognato_2001,ef1a_1stpos,MPTIS,Am1,Sch1,-42
219,Cognato_2001,ef1a_1stpos,MPTS,Am1,Sex1,-42
220,Cognato_2001,ef1a_1stpos,MPTMS,Am1,Sex1,0.9188914116546758
221,Cognato_2001,ef1a_1stpos,MPTIS,Am1,Sex1,-42
222,Cognato_2001,ef1a_1stpos,MPTS,Am1,Sp1,-42
223,Cognato_2001,ef1a_1stpos,MPTMS,Am1,Sp1,0.26146412994911117
224,Cognato_2001,ef1a_1stpos,MPTIS,Am1,Sp1,-42
225,Cognato_2001,ef1a_1stpos,MPTS,Am1,Ste1,-42
226,Cognato_2001,ef1a_1stpos,MPTMS,Am1,Ste1,-42
227,Cognato_2001,ef1a_1stpos,MPTIS,Am1,Ste1,-42
228,Cognato_2001,ef1a_1stpos,MPTS,Am1,Tri4,-42
229,Cognato_2001,ef1a_1stpos,MPTMS,Am1,Tri4,-42
230,Cognato_2001,ef1a_1stpos,MPTIS,Am1,Tri4,-42
231,Cognato_2001,ef1a_1stpos,MPTS,Am1,Ty1,-42
232,Cognato_2001,ef1a_1stpos,MPTMS,Am1,Ty1,-42
233,Cognato_2001,ef1a_1stpos,MPTIS,Am1,Ty1,-42
234,Cognato_2001,ef1a_1stpos,MPTS,Am1,Wo3,-42
235,Cognato_2001,ef1a_1stpos,MPTMS,Am1,Wo3,-42
236,Cognato_2001,ef1a_1stpos,MPTIS,Am1,Wo3,-42
237,Cognato_2001,ef1a_1stpos,MPTS,Am1,Oer1,-42
238,Cognato_2001,ef1a_1stpos,MPTMS,Am1,Oer1,0.4459216983631228
239,Cognato_2001,ef1a_1stpos,MPTIS,Am1,Oer1,-42
240,Cognato_2001,ef1a_1stpos,MPTS,Am1,Ort1,-42
241,Cognato_2001,ef1a_1stpos,MPTMS,Am1,Ort1,0.34303014613824456
242,Cognato_2001,ef1a_1stpos,MPTIS,Am1,Ort1,-42
243,Cognato_2001,ef1a_1stpos,MPTS,Am1,Pito1,-42
244,Cognato_2001,ef1a_1stpos,MPTMS,Am1,Pito1,0.39162517627108895
245,Cognato_2001,ef1a_1stpos,MPTIS,Am1,Pito1,-42
246,Cognato_2001,ef1a_1stpos,MPTS,Am1,Pica1,-42
247,Cognato_2001,ef1a_1stpos,MPTMS,Am1,Pica1,-42
248,Cognato_2001,ef1a_1stpos,MPTIS,Am1,Pica1,-42
249,Cognato_2001,ef1a_1stpos,MPTS,Am1,Pho1,-42
250,Cognato_2001,ef1a_1stpos,MPTMS,Am1,Pho1,0.26146412994911117
